Image,PSNR,SSIM,MSE,MAE,Inference_Time_sec,FPS
frame_003098.jpg,16.737726194577757,0.616389,0.021194705212504557,0.12311301,7.920938151015434,0.1262476717952663
frame_003235.jpg,16.391630273089447,0.64557,0.022952868718298956,0.10749684,7.478779930999735,0.13371164939015978
frame_002595.jpg,14.609161575885423,0.6430194,0.03460061693529662,0.16219857,7.6596547279914375,0.13055418755960377
frame_002652.jpg,14.851062624869915,0.6257915,0.032726061147304746,0.16255315,7.7945548800053075,0.12829468974106692
frame_001926.jpg,16.251335883399683,0.6425812,0.023706443867933837,0.10006428,7.790164264995838,0.12836699791984865
frame_001801.jpg,15.080556838695532,0.6329208,0.031041615568013887,0.15837938,7.762207106978167,0.1288293376121087
frame_001005.jpg,18.636434606439632,0.9133201,0.013688521403064683,0.11395433,7.847920246014837,0.12742229388834558
frame_000585.jpg,16.224761710255354,0.6557817,0.023851946633113606,0.095423974,7.798913167993305,0.1282229944685106
frame_003217.jpg,16.455992191532648,0.6500105,0.022615218122441532,0.12865296,7.6516926609911025,0.13069003739500337
frame_000883.jpg,22.84779369629446,0.92730194,0.005190636667881602,0.06617384,8.078907062998042,0.12377911915586576
frame_001626.jpg,16.514351788879114,0.65546244,0.022313352230811403,0.108520314,8.048989720991813,0.12423919456525011
frame_002485.jpg,16.37528209179209,0.6419263,0.023039433207792184,0.11944566,7.928516315994784,0.1261270028520501
frame_000651.jpg,17.13875287807641,0.64941674,0.019325231815430787,0.11242313,8.049214728991501,0.12423572157892868
frame_001483.jpg,18.041674557415135,0.88046676,0.015697574188453526,0.120624036,8.178584231995046,0.12227055094547393
frame_001327.jpg,23.61585694313005,0.9250496,0.0043492493345060656,0.05860488,8.199295741011156,0.1219616942218842
frame_001651.jpg,14.788612992983287,0.63292366,0.03320004716692678,0.14654762,8.006342245003907,0.12490098092222036
frame_000258.jpg,15.540650889001697,0.6686252,0.0279212534642598,0.14495412,8.131458785996074,0.12297916355699805
frame_002762.jpg,15.159789675848765,0.625446,0.030480425994817338,0.15576999,8.287528188026045,0.1206632396671442
frame_003344.jpg,15.82725483222275,0.6226892,0.026138130189464866,0.14201954,8.481449515005806,0.11790437450942198
frame_001440.jpg,20.120604420827057,0.87009996,0.009726118530102145,0.09253862,8.441945564001799,0.11845610616872569
frame_003176.jpg,15.812103985208491,0.6288572,0.02622947521067764,0.13740632,8.7701434759947,0.11402322011460378
frame_002265.jpg,14.561150155676689,0.63131696,0.034985250222478954,0.12551759,8.357957521016942,0.11964645638427777
frame_002669.jpg,15.566649847561873,0.627647,0.027754602722064557,0.14987494,8.160392788005993,0.12254312089851643
frame_000152.jpg,16.199858326740266,0.6566333,0.023989111737606005,0.13779736,8.13243850201252,0.12296434823977236
frame_002261.jpg,14.900396550521267,0.62564254,0.032356411122264624,0.15241662,8.316390491992934,0.12024447396533454
frame_000673.jpg,15.504911030359722,0.6637776,0.02815197686729513,0.13138092,8.24798636502237,0.12124171352182973
frame_001217.jpg,19.872195504579906,0.91561127,0.010298653572674087,0.09199964,8.3839237249922,0.11927589429505817
frame_002904.jpg,17.51568864658143,0.64640814,0.017718670636829217,0.11159778,8.828194425994297,0.11327344548003342
frame_000282.jpg,15.249644024699403,0.6613353,0.02985627329839783,0.12247863,8.571996701997705,0.11665893429088113
frame_002173.jpg,17.523588538247406,0.6288789,0.017686469365000353,0.109459825,8.236230468988651,0.12141476659319281
frame_003228.jpg,16.111921454352455,0.6339362,0.024479799394803933,0.12765938,8.103789696993772,0.12339905616886451
frame_001147.jpg,19.206387496103005,0.84715724,0.012004974734657965,0.10476755,8.367398491012864,0.11951145879738675
frame_002627.jpg,15.945226945417708,0.6649483,0.025437668622865433,0.1403297,8.214217737026047,0.12174013789437842
frame_003259.jpg,16.13942309289342,0.6348559,0.02432527119091586,0.13018136,8.16987989001791,0.12240082026442224
frame_002882.jpg,16.82413233626403,0.6469903,0.020777187852259765,0.13085248,8.241517223999836,0.12133688164697816
frame_003278.jpg,15.028224070747147,0.64146036,0.03141793182165425,0.13655074,8.272228423011256,0.12088641039193887
frame_001558.jpg,18.76534344951743,0.75143605,0.013288184671182349,0.08172327,8.671647485985886,0.11531834079003837
frame_001960.jpg,15.048551524994975,0.64610577,0.03127122162555463,0.15883085,8.455609235010343,0.11826468941581557
frame_001643.jpg,15.92848537142169,0.6296148,0.02553591728121106,0.12976825,8.65096832200652,0.1155939962762525
frame_001207.jpg,28.98405310108608,0.94918823,0.0012635565689511944,0.023933174,8.950145484996028,0.11173002736954323
frame_000031.jpg,16.624713492648024,0.65925366,0.021753475386071,0.13004057,9.036100244004047,0.11066720963654154
frame_003035.jpg,14.736414765846375,0.6208002,0.033601489037538554,0.16186905,8.953140678990167,0.11169264907750684
frame_000308.jpg,14.868129356765728,0.6487758,0.03259770793708594,0.1472766,9.272864979982842,0.10784153572371441
frame_002648.jpg,15.197008302838013,0.63794154,0.030220327723032035,0.14095865,9.057167423976352,0.11040979515877954
frame_001839.jpg,16.1460715423157,0.6274205,0.024288061045384526,0.14015512,9.103281897027045,0.10985049252694026
frame_000937.jpg,22.551230273057918,0.94185835,0.005557468025482577,0.06660431,8.726424077001866,0.11459447663510408
frame_000264.jpg,15.823620800005163,0.64617896,0.026160010863332004,0.13996251,8.806187645997852,0.11355651732614055
frame_003204.jpg,13.620966104905676,0.6135748,0.043441357643853006,0.1909185,8.68886792002013,0.1150897918123358
frame_001124.jpg,17.3084674719748,0.89522177,0.01858460148386467,0.13231651,8.87758771100198,0.1126432126106399
frame_001391.jpg,19.65901370203891,0.9045028,0.01081679576621529,0.1019279,8.421248858008767,0.11874723296521289
frame_000456.jpg,16.47192245253163,0.6597566,0.022532415690716727,0.13073002,8.277815352979815,0.1208048207598668
frame_001710.jpg,15.285252031630808,0.6350623,0.029612481119911934,0.1485412,8.337987453996902,0.11993301807148192
frame_000407.jpg,15.345144380819535,0.6719613,0.02920690660488324,0.11920328,8.256050728989067,0.12112328676575944
frame_003486.jpg,16.61446084800883,0.64111316,0.021804890757476013,0.12183309,8.199738167022588,0.12195511364274582
frame_002501.jpg,16.751326441375706,0.63022035,0.021128436272528875,0.09849734,8.337824066984467,0.11993536826469271
frame_000089.jpg,16.353962815160003,0.6835995,0.023152810568866287,0.10488019,8.119319674995495,0.1231630284344673
frame_003169.jpg,16.48064425760919,0.66632503,0.022487209927841225,0.11057978,8.756032637989847,0.11420697493306438
frame_002355.jpg,14.699189417121925,0.6181882,0.033890740513642166,0.16230132,8.426944896986242,0.11866696794915954
frame_000147.jpg,16.78997169996219,0.6429085,0.020941261018116962,0.12056773,8.363753631012514,0.11956354097902094
frame_002223.jpg,16.669797683721434,0.6429246,0.02152882024493719,0.12425307,8.201861933019245,0.12192353494444681
frame_002038.jpg,15.406710158957427,0.6246252,0.028795789097876348,0.14424284,8.162771839008201,0.12250740553854593
frame_001548.jpg,18.106738004855604,0.7683375,0.015464155194439144,0.11161738,8.069206921005389,0.12392791631069046
frame_003232.jpg,14.577235163221738,0.6255279,0.03485591466483299,0.12268943,8.24206180399051,0.12132886452220439
frame_000683.jpg,16.52270157405342,0.6698198,0.022270493590454087,0.099031284,8.410167577996617,0.1189036949294903
frame_002438.jpg,16.81494462479702,0.63799566,0.020821189533411312,0.12732908,8.237943173997337,0.12138952392345348
frame_001280.jpg,20.362635520795376,0.92902213,0.009198911653795532,0.088914305,8.335378796007717,0.11997055256552425
frame_003216.jpg,15.534059502962371,0.6436611,0.02796366235944607,0.1465037,8.354565777000971,0.11969502984258852
frame_001354.jpg,18.216074350072525,0.9083573,0.015079695255393277,0.11749423,8.432730643020477,0.11858554984531262
frame_003583.jpg,16.539651215070993,0.6147524,0.022183745718562548,0.1218216,8.397173982026288,0.11908768380177041
frame_000082.jpg,15.80092440422611,0.6619125,0.02629708193832134,0.1087474,8.274771775992122,0.1208492544654022
frame_000121.jpg,16.395453687028184,0.655543,0.022932670511062275,0.11798023,8.52162921699346,0.1173484523365372
frame_003453.jpg,15.893137166046962,0.6172788,0.025744607997748425,0.14046434,8.348173095990205,0.11978668727895928
frame_000319.jpg,16.552328454877255,0.6705416,0.02211908484538108,0.13155174,8.456597595009953,0.11825086729798724
frame_001223.jpg,24.15321174592192,0.9434399,0.0038430746932376658,0.05745925,8.463936209009262,0.11814833846875768
frame_003279.jpg,15.884571442937654,0.6462383,0.02579543498410273,0.114127345,8.297672988002887,0.12051571584537504
frame_003433.jpg,16.21416670899071,0.6408514,0.023910206620775757,0.11514036,8.308587698993506,0.120357398420569
frame_003432.jpg,18.53234004709913,0.64213425,0.014020580500317405,0.09560068,8.413103680009954,0.11886219854583045
frame_000400.jpg,16.60602411609699,0.6696341,0.021847290747834456,0.12969422,8.597188807994826,0.11631709182309281
frame_002090.jpg,15.760525615454451,0.6447564,0.02654284301325106,0.12377606,8.452735599013977,0.11830489529527594
frame_000431.jpg,16.46474953486678,0.66425365,0.022569661548825885,0.12115669,8.546230194013333,0.11701065584455048
frame_002720.jpg,19.08692239517962,0.6577187,0.012339789761230267,0.09287522,8.500053539988585,0.11764631779029276
frame_002702.jpg,14.522569511251138,0.6110394,0.03529742701271415,0.16753705,8.442821372009348,0.11844381823774215
frame_002135.jpg,15.600298750213016,0.64077044,0.02754039247071571,0.12629533,8.555861119995825,0.11687894251379433
frame_002403.jpg,15.488074765051142,0.62525314,0.028261325267025406,0.13623057,8.732493210001849,0.11451483281483002
frame_001410.jpg,23.847202005973518,0.94429445,0.004123631033855387,0.05870927,8.688634209014708,0.11509288755216225
frame_002449.jpg,15.101595151924414,0.6250371,0.030891605837581822,0.13145125,8.870448554982431,0.11273387064945112
frame_001807.jpg,16.113957816874077,0.64609987,0.024468323757210333,0.13513592,8.680844046000857,0.11519617155899557
frame_001850.jpg,15.875383783137957,0.6419937,0.025850063941770807,0.1352736,8.561204070982058,0.1168059996828565
frame_000338.jpg,14.940875967533213,0.6571644,0.03205622688473367,0.15051718,8.482898964022752,0.11788422852154082
frame_000057.jpg,14.577053710649981,0.6367032,0.034857371010181194,0.16994669,8.85654955598875,0.11291078920501332
frame_001284.jpg,21.991196955866886,0.9393232,0.0063223757682218645,0.07541262,8.627367503999267,0.11591021241838187
frame_000197.jpg,14.339778201782448,0.6254925,0.036814777481054085,0.17133772,8.718030118994648,0.11470481133360878
frame_002794.jpg,15.084877128556997,0.61925703,0.031010751235142693,0.1190773,8.641420899017248,0.1157217096222828
frame_002855.jpg,16.71214139740231,0.6497935,0.021319934213356352,0.11403254,8.477910455025267,0.11795359308227321
frame_000185.jpg,14.75682766794636,0.6529023,0.03344392441279226,0.15392816,8.693949827982578,0.11502251793326129
frame_002001.jpg,15.606807019603398,0.6384462,0.02749915177701865,0.1387532,8.683026541984873,0.11516721677225321
frame_003587.jpg,16.09690631365108,0.656605,0.024564581446624285,0.10033901,8.57025056600105,0.11668270283334414
frame_002268.jpg,15.685634470553417,0.6225128,0.0270045256433099,0.14337489,8.684419919009088,0.11514873869826671
frame_003033.jpg,15.399349751992613,0.63530856,0.028844633474662783,0.13055202,8.39226589599275,0.11915733037933095
frame_000553.jpg,15.690523197076356,0.68288136,0.02697414453789425,0.1199496,8.401485829002922,0.11902656510445828
frame_002559.jpg,15.744956361187391,0.6431873,0.026638168632182643,0.13574694,8.591955548996339,0.11638793919468242
frame_003468.jpg,14.685110107123469,0.6298661,0.03400078854401561,0.13658239,8.399393319996307,0.11905621774126417
frame_001388.jpg,24.942289751084665,0.93523026,0.003204579313706965,0.04565943,8.578443784994306,0.1165712599002202
frame_001698.jpg,16.238890122695324,0.6268449,0.02377447786446236,0.1381634,8.542641141015338,0.11705981598580234
frame_001790.jpg,15.316146514383309,0.6205595,0.029402573789368423,0.15422644,8.464137075003237,0.11814553464088572
frame_001707.jpg,14.949747353134748,0.6321163,0.03199081207918235,0.1343803,8.507090715982486,0.11754899922734746
frame_001226.jpg,19.221218533787358,0.8836093,0.0119640479961525,0.10618844,8.631090391980251,0.1158602163324775
frame_003006.jpg,15.749349155512851,0.64853925,0.026611238325383754,0.120438084,8.395798668003408,0.1191071915303334
frame_001937.jpg,15.623366445278918,0.6266877,0.0273944985682486,0.1302643,8.384966556011932,0.11926106005551217
frame_003484.jpg,15.445285205653683,0.61707455,0.028541150749591095,0.15162487,8.57703764399048,0.11659037088413063
frame_000110.jpg,16.535482819942082,0.67053324,0.02220504808658484,0.11577457,8.417148944019573,0.11880507362418781
frame_002649.jpg,16.168579895699242,0.6470399,0.024162507977870656,0.11418832,8.374854815017898,0.1194050550233763
frame_001243.jpg,17.64805911305063,0.9160425,0.017186763018491428,0.12434228,8.514234336005757,0.11745037316756839
frame_003115.jpg,15.695781018657257,0.6484191,0.02694150782965199,0.13395973,8.504188509017695,0.1175891149331435
frame_000705.jpg,15.93735226120257,0.66093695,0.025483834377063443,0.12763989,8.577701008005533,0.11658135426575303
frame_000793.jpg,20.285337991888394,0.8189726,0.009364103404476229,0.07043182,8.377722551987972,0.11936418206672496
frame_002665.jpg,17.118552100091765,0.6513238,0.01941533059885609,0.085730486,8.363598813011777,0.11956575421148095
frame_002437.jpg,16.026436981371454,0.65651983,0.024966421705312034,0.13103652,8.185439755994594,0.12216814609962179
frame_000701.jpg,17.638357830928268,0.6891692,0.017225197768997776,0.08158175,8.460893896000925,0.11819082147722641
frame_003459.jpg,15.220157862291387,0.6381374,0.03005967036338092,0.12234247,8.269316619989695,0.1209289770792748
frame_003261.jpg,17.426642281572697,0.66056556,0.0180857187072826,0.103222996,8.543394901003921,0.11704948812356684
frame_000957.jpg,22.370374962052928,0.9412708,0.005793786717538126,0.07120809,8.606179288006388,0.11619558070253135
frame_003314.jpg,15.552497388107323,0.63198644,0.027845194845290386,0.1432486,8.455551377002848,0.11826549865450166
frame_002217.jpg,16.145104365433323,0.63644314,0.024293470616090242,0.13919832,8.64146095502656,0.11572117321415665
frame_003400.jpg,15.649516875902469,0.6550165,0.02723004207570029,0.13861021,8.628981362999184,0.11588853399173746
frame_002013.jpg,15.6875180170987,0.6267913,0.026992816249175294,0.13767269,8.613120462017832,0.11610194056959999
frame_000969.jpg,20.65734914718003,0.8594878,0.008595380074492866,0.08748558,8.839984193997225,0.1131223742095657
frame_001767.jpg,15.695201482347635,0.63723844,0.026945103229658943,0.13511384,8.660087373980787,0.11547227606553923
frame_003483.jpg,15.301367633200783,0.6367108,0.029502800100997605,0.11995452,8.592678663000697,0.1163781446065137
frame_002321.jpg,15.47922836032847,0.6325561,0.028318951125985453,0.1405967,8.89467754898942,0.11242678495001948
frame_003036.jpg,15.548125401728788,0.630806,0.02787324035695536,0.12453479,8.693580746999942,0.11502740114826551
